id;customer_name;customer_code;marketing_name;is_active;created_at;updated_at
121;SENOPATI FUJITRANS;SF11;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
122;SINOTRANS OVERSEAS INDONESIA;SOI07;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
123;SRI TRANG LINGGA;STL63;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
124;CV SUKARESMI;S01;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
125;SUMMIT SEOYON;SS31;TATA;1;17/02/2026 18:08;17/02/2026 18:08
126;STAR RUBBER;SR37;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
127;SASA INTI;SI05;TATA;1;17/02/2026 18:08;17/02/2026 18:08
128;SANKEIKID;S66;TATA;1;17/02/2026 18:08;17/02/2026 18:08
129;TRI CENTRUM;TC13;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
130;TRIMITRA CIKARANG;TC68;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
131;TUFFINDO NITTOKU AUTONEUM;TNA83;FACHRUDIN;1;17/02/2026 18:08;17/02/2026 18:08
132;ULTRA JAYA MILK;UJM03;TATA;1;17/02/2026 18:08;17/02/2026 18:08
133;UPE POWER EQUIPMENT;UPE08;TATA;1;17/02/2026 18:08;17/02/2026 18:08
134;MATAHARI RENTAL TEKNIK;MRT48;WINSTON;1;17/02/2026 18:08;17/02/2026 18:08
135;PT Asian Isuzu;AI36;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
136;PT ABC Kogen;AK48;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
137;PT Aristides Logistik;AL63;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
138;PT Automotive Fastener Aoyama Indonesia;AFAI53;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
139;PT CS2;C56;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
140;PT. Colorobbia;C13;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
141;PT. Intitrans Perkasa Abadi;IPA04;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
142;PT. Intilog Sukses Abadi;ISA65;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
143;PT LX Pantos Jakarta;LPJ85;TATA;1;17/02/2026 18:08;17/02/2026 18:08
144;PT Kamadjaja Logistik - Softext;KL-S17;TATA;1;17/02/2026 18:08;17/02/2026 18:08
145;PT Mulia Raya Agrijaya;MRA63;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
146;PT Megmilk Snow Brand Indonesia;MSBI73;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
147;PT. Supernova;S87;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
148;PT Semen Jawa;SJ45;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
149;PT Resik Bumi Perkasa;RBP50;TATA;1;17/02/2026 18:08;17/02/2026 18:08
150;PT ARISAMANDIRI PRATAMA;AP58;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
151;PT Indocorr Packaging Cikarang;IPC16;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
152;PT NGK Keramik;NK25;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
153;PT Lentera Hidup Bersama;LHB20;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
154;PT Linfox Logistics Indonesia;LLI94;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
155;PT Fajar Unggul Nusantara;FUN89;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
156;PT Zhi Xing Indonesia;ZXI96;TATA;1;17/02/2026 18:08;17/02/2026 18:08
157;PT Cepat MRO Solusi Indonesia;CMSI99;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
158;PT Daesan Makmur Sentosa;DMS84;TATA;1;17/02/2026 18:08;17/02/2026 18:08
