"id";"role_id";"permission_id";"granted";"assigned_by";"assigned_at"
"270";"30";"1";"1";NULL;"2025-12-12 17:18:42"
"271";"30";"2";"1";NULL;"2025-12-12 17:18:42"
"272";"30";"3";"1";NULL;"2025-12-12 17:18:42"
"273";"30";"4";"1";NULL;"2025-12-12 17:18:42"
"274";"30";"5";"1";NULL;"2025-12-12 17:18:42"
"275";"30";"6";"1";NULL;"2025-12-12 17:18:42"
"276";"30";"7";"1";NULL;"2025-12-12 17:18:42"
"277";"30";"8";"1";NULL;"2025-12-12 17:18:42"
"278";"30";"9";"1";NULL;"2025-12-12 17:18:42"
"279";"30";"10";"1";NULL;"2025-12-12 17:18:42"
"280";"30";"11";"1";NULL;"2025-12-12 17:18:42"
"281";"30";"12";"1";NULL;"2025-12-12 17:18:42"
"282";"30";"13";"1";NULL;"2025-12-12 17:18:42"
"283";"30";"14";"1";NULL;"2025-12-12 17:18:42"
"284";"30";"15";"1";NULL;"2025-12-12 17:18:42"
"285";"30";"16";"1";NULL;"2025-12-12 17:18:42"
"286";"30";"17";"1";NULL;"2025-12-12 17:18:42"
"287";"30";"18";"1";NULL;"2025-12-12 17:18:42"
"288";"30";"19";"1";NULL;"2025-12-12 17:18:42"
"289";"30";"20";"1";NULL;"2025-12-12 17:18:42"
"290";"30";"21";"1";NULL;"2025-12-12 17:18:42"
"291";"30";"22";"1";NULL;"2025-12-12 17:18:42"
"292";"30";"23";"1";NULL;"2025-12-12 17:18:42"
"293";"30";"24";"1";NULL;"2025-12-12 17:18:42"
"294";"30";"25";"1";NULL;"2025-12-12 17:18:42"
"295";"30";"26";"1";NULL;"2025-12-12 17:18:42"
"296";"30";"27";"1";NULL;"2025-12-12 17:18:42"
"297";"30";"28";"1";NULL;"2025-12-12 17:18:42"
"298";"30";"29";"1";NULL;"2025-12-12 17:18:42"
"299";"30";"30";"1";NULL;"2025-12-12 17:18:42"
"300";"30";"31";"1";NULL;"2025-12-12 17:18:42"
"301";"30";"32";"1";NULL;"2025-12-12 17:18:42"
"302";"30";"33";"1";NULL;"2025-12-12 17:18:42"
"303";"30";"34";"1";NULL;"2025-12-12 17:18:42"
"304";"30";"35";"1";NULL;"2025-12-12 17:18:42"
"305";"30";"36";"1";NULL;"2025-12-12 17:18:42"
"306";"30";"37";"1";NULL;"2025-12-12 17:18:42"
"307";"30";"38";"1";NULL;"2025-12-12 17:18:42"
"308";"30";"39";"1";NULL;"2025-12-12 17:18:42"
"309";"30";"40";"1";NULL;"2025-12-12 17:18:42"
"310";"30";"41";"1";NULL;"2025-12-12 17:18:42"
"311";"30";"42";"1";NULL;"2025-12-12 17:18:42"
"312";"30";"43";"1";NULL;"2025-12-12 17:18:42"
"313";"30";"44";"1";NULL;"2025-12-12 17:18:42"
"314";"30";"45";"1";NULL;"2025-12-12 17:18:42"
"315";"30";"46";"1";NULL;"2025-12-12 17:18:42"
"316";"30";"47";"1";NULL;"2025-12-12 17:18:42"
"317";"30";"48";"1";NULL;"2025-12-12 17:18:42"
"318";"30";"49";"1";NULL;"2025-12-12 17:18:42"
"319";"30";"50";"1";NULL;"2025-12-12 17:18:42"
"320";"30";"51";"1";NULL;"2025-12-12 17:18:42"
"321";"30";"52";"1";NULL;"2025-12-12 17:18:42"
"322";"30";"53";"1";NULL;"2025-12-12 17:18:42"
"323";"30";"54";"1";NULL;"2025-12-12 17:18:42"
"324";"30";"55";"1";NULL;"2025-12-12 17:18:42"
"325";"30";"56";"1";NULL;"2025-12-12 17:18:42"
"326";"30";"57";"1";NULL;"2025-12-12 17:18:42"
"327";"30";"58";"1";NULL;"2025-12-12 17:18:42"
"328";"30";"59";"1";NULL;"2025-12-12 17:18:42"
"329";"30";"60";"1";NULL;"2025-12-12 17:18:42"
"330";"30";"61";"1";NULL;"2025-12-12 17:18:42"
"331";"30";"62";"1";NULL;"2025-12-12 17:18:42"
"332";"30";"63";"1";NULL;"2025-12-12 17:18:42"
"333";"30";"64";"1";NULL;"2025-12-12 17:18:42"
"334";"30";"65";"1";NULL;"2025-12-12 17:18:42"
"335";"30";"66";"1";NULL;"2025-12-12 17:18:42"
"336";"30";"67";"1";NULL;"2025-12-12 17:18:42"
"337";"30";"68";"1";NULL;"2025-12-12 17:18:42"
"338";"30";"69";"1";NULL;"2025-12-12 17:18:42"
"339";"30";"70";"1";NULL;"2025-12-12 17:18:42"
"340";"30";"71";"1";NULL;"2025-12-12 17:18:42"
"341";"30";"72";"1";NULL;"2025-12-12 17:18:42"
"342";"30";"73";"1";NULL;"2025-12-12 17:18:42"
"343";"30";"74";"1";NULL;"2025-12-12 17:18:42"
"344";"30";"75";"1";NULL;"2025-12-12 17:18:42"
"345";"30";"76";"1";NULL;"2025-12-12 17:18:42"
"346";"30";"77";"1";NULL;"2025-12-12 17:18:42"
