id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at
;attachment;ATT0416;;7213;47;25-03-'04506;;;;;Baik;Lengkap;;IKPP KRAGGILAN;IN_USE;21/04/2025;;;
;attachment;ATT0417;;6568;25;2431438 L/R;;;;;Baik;Lengkap;;DHL SUPPLY CHAIN;IN_USE;03/07/2024;;;
;attachment;ATT0418;;5357;26;0986;;;;;Baik;Lengkap;;CJ LOGISTIK BANDUNG;IN_USE;21/04/2025;;;
;attachment;ATT0419;;;55;25-06-11492;;;;;Baik;Lengkap;;DIJUAL SURABAYA P. WINSTON;SOLD;26/07/2025;;;
;attachment;ATT0420;;;55;25-06-11490;;;;;Baik;Lengkap;;DIJUAL SURABAYA P. WINSTON;SOLD;26/07/2025;;;
;attachment;ATT0421;;;55;25-06-11491;;;;;Baik;Lengkap;;DIJUAL SURABAYA P. WINSTON;SOLD;26/07/2025;;;
;attachment;ATT0422;;;54;25-06-11697;;;;;Baik;Lengkap;;DIJUAL SURABAYA P. WINSTON;SOLD;26/07/2025;;;
;attachment;ATT0423;;;54;25-06-11696;;;;;Baik;Lengkap;;DIJUAL SURABAYA P. WINSTON;SOLD;26/07/2025;;;
;attachment;ATT0424;;;54;25-06-11698;;;;;Baik;Lengkap;;DIJUAL SURABAYA P. WINSTON;SOLD;26/07/2025;;;
;attachment;ATT0425;;6345;18;24-02-2340;;;;;Baik;Lengkap;;IKPP SERANG;IN_USE;06/04/2024;;;
;attachment;ATT0426;;6063;48;24-08-14088;;;;;Baik;Lengkap;;PT. INDOBARAT;IN_USE;21/04/2025;;;
;attachment;ATT0427;;6408;26;0987;;;;;Baik;Lengkap;;PT. PRYSMIAN GROUP;IN_USE;21/04/2025;;;
;attachment;ATT0428;;7781;29;1236;;;;;Baik;Lengkap;;PT. STAR RUBBER PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0429;;7536;25;2431452 L/R;;;;;Baik;Lengkap;;PT. NABATI MAJALENGKA;IN_USE;03/07/2024;;;
;attachment;ATT0430;;7825;21;25-03-'03642;;;;;Baik;Lengkap;;PT. INDOBARAT;IN_USE;21/04/2025;;;
;attachment;ATT0431;;7826;21;25-03-'03814;;;;;Baik;Lengkap;;PT. INDOBARAT;IN_USE;21/04/2025;;;
;attachment;ATT0432;;7837;47;25-07-13296;;;;;Baik;Lengkap;;PT. KAMADJAYA;IN_USE;11/08/2025;;;
;attachment;ATT0433;;7838;47;25-07-13297;;;;;Baik;Lengkap;;PT. KAMADJAYA;IN_USE;11/08/2025;;;
;attachment;ATT0434;;6345;47;25-07-13295;;;;;Baik;Lengkap;;PT. IKPP KRAGILAN SERANG;IN_USE;11/08/2025;;;
;attachment;ATT0435;;6055;25;2331207 L/R;;;;;Baik;Lengkap;;PT. UNIVENUS SERANG;IN_USE;27/06/2023;;;
;attachment;ATT0436;;7881;26;0989;;;;;Baik;Lengkap;;ELECTRA DELTA;IN_USE;21/04/2025;;;
;attachment;ATT0437;;7814;26;0988;;;;;Baik;Lengkap;;RECKIT SEMARANG;IN_USE;21/04/2025;;;
;attachment;ATT0438;;7886;25;2360376 L/R;;;;;Baik;Lengkap;;PT. DHL;IN_USE;29/08/2025;;;
;attachment;ATT0439;;6971;19;24-02-2331;;;;;Baik;Lengkap;;INDOCOR PACKAGING;IN_USE;06/04/2024;;;
;attachment;ATT0440;;6109;26;0990;;;;;Baik;Lengkap;;PT. CIPTA NIAGA SEMESTA;IN_USE;21/04/2025;;;
;attachment;ATT0441;;;35;ID-25H-361;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0442;;;35;ID-25H-362;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0443;;;35;ID-25H-363;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0444;;;35;ID-25H-364;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0445;;;35;ID-25H-365;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0446;;;35;ID-25H-366;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0447;;;35;ID-25H-367;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;16/09/2025;;;
;attachment;ATT0448;;;35;ID-25H-357;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;11/09/2025;;;
;attachment;ATT0449;;;35;ID-25H-354;;;;;Baik;Lengkap;;PT. IKPP PERAWANG;IN_USE;11/09/2025;;;
