unit_id;no_unit;nama_customer;customer_id;lokasi_db;lokasi_mentah;merk;model;tipe;kapasitas;tahun;nomor_po;no_kontrak;awal_kontrak;akhir_kontrak;harga;sumber_data
1876;1976;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";CSKD;TOYOTA;8FBN25;ELECTRIC;;2017;;;2025-03-01;2025-03-31;9300000;"Marketing, Service, Acc"
722;822;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";"WH Cikarang";NICHIYU;FB25PN-72C-470PFL;ELECTRIC;;2012;;;2024-02-01;2024-02-29;7500000;"Marketing, Service, Acc"
1159;1259;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";"WH Cikarang";NICHIYU;FBRW15-75C-600M;ELECTRIC;;2013;;;2023-12-01;2023-12-31;15000000;"Marketing, Service, Acc"
3217;3317;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";TOYOTA;8FBN25;ELECTRIC;;2022;;;2025-03-01;2025-03-31;10500000;"Marketing, Service, Acc"
2798;2898;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";TCM;FB25-9;ELECTRIC;;2021;;;2025-03-01;2025-03-31;9000000;"Marketing, Service, Acc"
2145;2245;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";Yale;FB25RZ;ELECTRIC;;2018;;;2025-03-01;2025-03-31;9000000;"Marketing, Service, Acc"
2797;2897;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";TCM;FB25-9;ELECTRIC;;2021;;;2025-03-01;2025-03-31;9000000;"Marketing, Service, Acc"
1342;1442;"PT. LX Phantos Jakarta";;"DS- HLI Green Power";"DS- HLI Green Power";YALE;FBR18SZ;ELECTRIC;;2014;;;2025-03-01;2025-03-31;15000000;"Marketing, Acc"
4104;5204;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";HELI;CQD18-A2RLIG2;ELECTRIC;;2024;;;2025-03-01;2025-03-31;15000000;"Marketing, Service, Acc"
3885;3985;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";TOYOTA;8FBR18;ELECTRIC;;2023;;;2025-03-01;2025-03-31;15000000;"Marketing, Service, Acc"
1852;1952;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";TOYOTA;8FBN25;ELECTRIC;;2017;;;2025-03-01;2025-03-31;15000000;"Marketing, Service, Acc"
4176;5276;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";HELI;CQD18-A2RLIG2;ELECTRIC;;2024;;;2025-03-01;2025-03-31;15000000;"Marketing, Service, Acc"
4103;5203;"PT. LX Phantos Jakarta";137;"Gudang Karawang (DS- HLI Green Power)";"DS- HLI Green Power";HELI;CQD18-A2RLIG2;ELECTRIC;;2024;;;2025-03-01;2025-03-31;15000000;"Marketing, Service, Acc"
1533;1633;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";"WH HUB (WH DAIWA)";NISSAN;T1B2L25U-2W300;ELECTRIC;;2015;;;2024-02-01;2024-02-29;9300000;"Marketing, Service, Acc"
1534;1634;Lamipak;126;"Plant Cikande";"WH HUB (WH DAIWA)";NISSAN;T1B2L25U-2W300;ELECTRIC;;2015;;;2024-05-17;2024-11-16;9300000;"Marketing, Service, Acc, Acc"
2867;2967;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";VMI;YALE;FB25RZ;ELECTRIC;;2022;;;2024-02-01;2024-02-29;9600000;"Marketing, Service, Acc"
1157;1257;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";VMI;NICHIYU;FBRW15-75C-600M;ELECTRIC;;2013;;;2024-02-01;2024-02-29;15000000;"Marketing, Service, Acc"
726;826;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";VMI;NICHIYU;FB25PN-72C-470M;ELECTRIC;;2012;;;2024-02-01;2024-02-29;9300000;"Marketing, Service, Acc"
4184;5284;"PT. Tirta Sukses Perkasa";222;"Plant Pandaan";Pandaan;TOYOTA;8FBN25;ELECTRIC;;2024;4506747847;007/SML/II/2025;2025-03-16;2026-03-15;11750000;"Marketing, Service, Acc"
4186;5286;"PT. Tirta Sukses Perkasa";222;"Plant Pandaan";Pandaan;TOYOTA;8FBN25;ELECTRIC;;2024;4506747847;007/SML/II/2025;2025-03-16;2026-03-15;11750000;"Marketing, Service, Acc"
4193;5293;"PT. Tirta Sukses Perkasa";222;"Plant Pandaan";Pandaan;TOYOTA;8FBN25;ELECTRIC;;2024;4506747847;007/SML/II/2025;2025-03-16;2026-03-15;11750000;"Marketing, Service, Acc"
