NO CHARGER;CHARGER ;NO UNIT;LOKASI;STATUS;Tgl Dtg;Tgl Pertama Kali Kirim
C1268;LI 80V 200A SN : 230330E2503;5733;Cipta Niaga Semesta / Mayora Gresik;TERPASANG;;26/07/2025
C1269;LI 80V 200A SN : 223344E2502;5085;Lami Packaging Cikande Serang;TERPASANG;;29/07/2025
C1270;LI 80V 200A SN : 185673E2408;5734;Sugity Cibitung / MM;TERPASANG;;28/07/2025
C1271;LI 80V 200A SN : 233714E2504;05030DS3457;Mega Surya Surabaya (Dijual) 30 jul 25;DIJUAL;;30/07/2025
C1272;LI 80V 200A SN : 222016E2502;05030DS3458;Mega Surya Surabaya (Dijual) 30 jul 25;DIJUAL;;30/07/2025
C1273;LI 80V 200A SN : 230995E2503;05030DS3456;DIJUAL PT. UNILIFT CAHAYA SEMESTA (30-07-2025);DIJUAL;;30/07/2025
C1274;LI 80V 200A SN : 222011E2502;05030DS3733;DIJUAL PT. UNILIFT CAHAYA SEMESTA (30-07-2025);DIJUAL;;30/07/2025
C1275;LI 80V 200A SN : 227563E2503;05030DS3459;Mega Surya Surabaya (Dijual) 30 jul 25;DIJUAL;;30/07/2025
C1276;LI 150V 200A SN : APL241241232338;050503N2408;POOL (POS 5) - Surabaya (Dijual);DIJUAL;;
C1277;LI 80V 200A SN : 252290E2506;05030DS3732;Mega Surya Surabaya (Dijual) 30 jul 25;DIJUAL;;30/07/2025
C1278;LI 80V 200A SN : 250792E2506;05030DS3461;Mega Surya Surabaya (Dijual) 30 jul 25;DIJUAL;;30/07/2025
C1279;LI 80V 200A SN : 250822E2506;05030DS3460;Mega Surya Surabaya (Dijual) 31 jul 25;DIJUAL;;31/07/2025
C1280;LI 80V 200A SN : 250813E2506;05030DS3734;Mega Surya Surabaya (Dijual) 31 jul 25;DIJUAL;;31/07/2025
C1281;LI 80V 200A SN : 250845E2506;05050DS3818;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1282;LI 80V 200A SN : 244647E2505;05030DS3462;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1283;LI 80V 200A SN : 250846E2506;05030DS3463;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1284;LI 80V 200A SN : 250793E2506;05030DS3465;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1285;LI 80V 200A SN : 252308E2506;05030DS3466;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1286;LI 80V 200A SN : 252289E2506;05030DS3464;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1287;LI 80V 200A SN : 252291E2506;05040DS3820;DIJUAL PT. UNILIFT CAHAYA SEMESTA (01-08-2025);DIJUAL;;01/08/2025
C1288;LI 80V 200A SN : 244632E2505;05040DS3819;Mega Surya Surabaya (Dijual) 1 aug 25;DIJUAL;;01/08/2025
C1289;LI 80V 200A SN : 244642E2505;05025DS3636;DIJUAL PT. INDOFOOD SUKSES MAKMUR TBK (04-08-2025);DIJUAL;;04/08/2025
C1290;LI 80V 200A SN : 250806E2506;05035DS3481;DIJUAL PT. PLATINUM CERAMI CS INDUSTRY (07-08-2025);DIJUAL;;07/08/2025
C1291;LI 80V 200A SN : 250803E2506;05035DS3482;DIJUAL PT. PLATINUM CERAMI CS INDUSTRY (07-08-2025);DIJUAL;;07/08/2025
C1292;LI 24V 100A SN : 20250105V284;5738;CJ Logistik Service Indonesia Surabaya;TERPASANG;;02/08/2025
C1293;LI 24V 100A SN : 20250105V225;5739;CJ Logistik Service Indonesia Surabaya;TERPASANG;;02/08/2025
C1294;LI 80V 200A SN : 244636E2505;5746;Kaldu Sari Nabati Majalengka;TERPASANG;;07/08/2025
C1295;STAR 48V 60A SN : HS0615;8FBR15-41163;DIJUAL PT. ELASTOMIX INDONESIA (08-08-2025);DIJUAL;;08/08/2025
C1296;LI 80V 200A SN : 25231E2506;05030DP3238;DIJUAL PT. UNILIFT CAHAYA SEMESTA (01-08-2025);DIJUAL;;01/08/2025
C1297;LI 80V 200A SN : 250816E2506;3705;Prysmian Cikampek Trial;TERPASANG;;12/12/2025
C1298;LI 80V 200A SN : 250824E2506;5754;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;28/08/2025
C1299;LI 80V 200A SN : 250840E2506;5756;POOL (POS 5)  -  Plan Unilift (Dijual);DIJUAL;;28/08/2025
C1300;LI 80V 200A SN : 250790E2506;5753;DHL Supply Chain Osowilangun Surabaya;TERPASANG;;28/08/2025
C1301;LI 80V 200A SN : 250849E2506;5757;POOL (POS 5);TERPASANG;;28/08/2025
C1302;LI 80V 200A SN : 244641E2505;6065;POOL (POS 2) - Plan LG Tangerang;TERPASANG;;28/08/2025
C1303;LI 80V 200A SN : 244635E2505;;POOL (POS 5) ;AVAILABLE;;28/08/2025
C1304;LI 80V 200A SN : 244651E2505;5760;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;29/08/2025
C1305;LI 80V 200A SN : 244648E2505;5761;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;29/08/2025
C1306;LI 80V 200A SN : 244637E2505;5771;DHL Supply Chain Cileungsi;TERPASANG;;05/12/2025
C1307;LI 80V 200A SN : 250795E2506;5752;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;21/08/2025
C1308;LI 80V 200A SN : 250825E2506;5772;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;21/08/2025
C1309;LI 80V 200A SN : 250838E2506;5774;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1310;LI 80V 200A SN : 244644E2505;5775;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1311;LI 80V 200A SN : 252303E2506;5776;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1312;LI 80V 200A SN : 237330E2504;5773;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;21/08/2025
C1313;LI 24V 50A SN : SW2409030037;;Semen Jawa Sukabumi;SPARE;;
C1314;LI 24V 50A SN : SW2409030051;;POOL (POS 5);AVAILABLE;;
C1315;LI 24V 50A SN : SW2409030035;;POOL (POS 5);AVAILABLE;;
C1316;LI 24V 100A SN : 20250105V250;5762;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;;11/08/2025
C1317;LI 80V 200A SN : 252313E2506;5765;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;21/08/2025
C1318;LI 80V 200A SN : 250788E2506;5766;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;21/08/2025
C1319;LI 80V 200A SN : 233904E2504;5764;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1320;LI 80V 200A SN : 233896E2504;5767;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1321;LI 80V 200A SN : 233903E2504;5763;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;21/08/2025
C1322;LI 80V 200A SN : 233712E2504;5768;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1323;LI 80V 200A SN : 219349E2502;5770;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1324;LI 80V 200A SN : 233894E2504;5779;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1325;LI 80V 200A SN : 233710E2504;5780;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1326;LI 80V 200A SN : 233902E2504;5769;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;;26/08/2025
C1327;LI 24V 100A SN : 20250421V115;5782;Sinotrans Cibitung / MM;TERPASANG;;19/09/2025
C1328;LI 24V 100A SN : 20250421V076;;POOL (POS 5);AVAILABLE;;11/09/2025
C1329;CHARGER 24V 10A MODEL : SWCH24V10A-B;08015JLR984;Unilift Cahaya Semesta (Dijual) 14 aug 2025;DIJUAL;;11/08/2025
C1330;CHARGER 24V 10A MODEL : SWCH24V10A-B;08015JLR985;Unilift Cahaya Semesta (Dijual) 14 aug 2025;DIJUAL;;11/08/2025
C1331;LI 80V 200A SN : 233911E2504;5781;Semen Jawa Sukabumi;TERPASANG;;20/08/2025
C1332;LI 80V 200A SN : 237332E2504;5790;Oki Palembang;TERPASANG;;21/10/2025
C1333;LI 80V 200A SN : 250339E2506;5788;Oki Palembang;TERPASANG;;21/10/2025
C1334;LI 80V 200A SN : 244643E2505;5787;Oki Palembang;TERPASANG;;21/10/2025
C1335;LI 80V 200A SN : 252306E2506;5789;Oki Palembang;TERPASANG;;21/10/2025
C1336;LI 80V 200A SN : 244633E2505;5794;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;29/08/2025
C1337;LI 80V 200A SN : 252307E2506;;POOL (POS 5) ;AVAILABLE;;29/08/2025
C1338;LI 24V 50A SN : SW2409030026;5814;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;11/09/2025
C1339;LI 24V 50A SN : SW2409030049;5894;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;03/10/2025
C1340;LI 24V 50A SN : SW2409030047;5917;Kino Indonesia Tbk Sukabumi;TERPASANG;;20/10/2025
C1341;LI 24V 50A SN : SW2409030024;5895;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;;03/10/2025
C1342;LI 24V 50A SN : SW2409030033;5796;YCH Cikarang Deltamas (MDC);TERPASANG;;04/09/2025
C1343;LI 24V 50A SN : SW2409030044;3197;Sinotrans Cibitung / MM;TERPASANG;;29/08/2025
C1344;LI 24V 50A SN : SW2409030031;6012;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;;12/12/2025
C1345;LI 24V 50A SN : SW2409030028;5795;Kino Indonesia Tbk Cikande Serang;TERPASANG;;07/11/2025
C1346;LI 80V 200A SN : 225424E2503;07018DS3937;PT. UNILIFT CAHAYA SEMESTA (Dijual) 22 Dec 2025;DIJUAL;;22/12/2025
C1347;LI 24V 50A SN : SW252516003713;08020JMX646;Unilift Cahaya Semesta (Dijual) 25 aug 2025;DIJUAL;;25/08/2025
C1348;LI 80V 200A SN : 185654E2408;05025DP3386;Unilift (Dijual) 28 AUG 25;DIJUAL;;28/08/2025
C1349;LI 80V 200A SN : 225406E2503;05025DR4657;DIJUAL PT. UNILIFT CAHAYA SEMESTA (11/19/2025);DIJUAL;;19/11/2025
C1350;LI 80V 200A SN : 222030E2502;5798;Surya Renggo Karawang;TERPASANG;;10/09/2025
C1351;LI 24V 10A Model : SWCH24V10A-B SN : -;08015JLR996;Unilift Cahaya Semesta (Dijual) 8 sep 2025;DIJUAL;;08/09/2025
C1352;LI 24V 10A Model : SWCH24V10A-B SN : -;08015JLR997;Unilift Cahaya Semesta (Dijual) 8 sep 2025;DIJUAL;;08/09/2025
C1353;LI 24V 100A SN : 20250105V272;5797;Samsung SDS Global SCL Indonesia (Surabaya);TERPASANG;;27/12/2025
C1354;LEAD ACID BEIJING DELONG 48V 80A SN : 3586623050202003;;Hab Dong Indo Cibitung;SPARE;15/07/1905;11/09/2025
C1355;LI 80V 200A SN : 192859E2410;05025DS7674;Unilift Cahaya Semesta (Dijual) 15 sep 2025;DIJUAL;;15/09/2025
C1356;LI 24V 100A SN : 20250105V243;5820;Megmilk Snow Brand Indonesia Jababeka 5;TERPASANG;;09/10/2025
C1357;LI 24V 100A SN : 20250105V274;5822;Kaldu Sari Nabati Indonesia - Rancaekek (Linfox);TERPASANG;;15/09/2025
C1358;LI 24V 100A SN : 20250105V251;5821;POOL (POS 5) - Plan Duta Sentosa Yasa (Mr DIY);TERPASANG;;
C1359;LI 24V 100A SN : 20250105V270;5823;Kaldu Sari Nabati Indonesia - Rancaekek (Linfox);TERPASANG;;15/09/2025
C1360;LI 24V 100A SN : 20241231V072;5800;Kaldu Sari Nabati Indonesia - Rancaekek (Linfox);TERPASANG;;15/09/2025
C1361;LI 24V 100A SN : 20250105V246;5803;Kaldu Sari Nabati Indonesia - Rancaekek (Linfox);TERPASANG;;15/09/2025
C1362;LI 24V 100A SN : 20250105V227;5801;Kaldu Sari Nabati Indonesia - Rancaekek (Linfox);TERPASANG;;15/09/2025
C1363;LI 80V 200A SN : 231460E2503;07018DS3938;POOL (POS 5) - Plan Unilift Cahaya Semesta (Dijual);DIJUAL;;
C1364;LI 80V 200A SN : 265684E2508;5825;Cipta Mortar Utama Gresik;TERPASANG;;27/09/2025
C1365;LI 80V 200A SN : 265638E2508;5826;Cipta Mortar Utama Gresik;TERPASANG;;27/09/2025
C1366;LI 80V 200A SN : 265701E2508;5827;POOL (POS 5) - Plan PT Bekaert ;TERPASANG;;03/10/2025
C1367;LI 80V 200A SN : 261773E2507;5828;Bekaert Indonesia;TERPASANG;;17/10/2025
C1368;LI 80V 200A SN : 265606E2508;5829;Bekaert Indonesia;TERPASANG;;17/10/2025
C1369;LI 80V 200A SN : 265687E2508;5830;Bekaert Indonesia;TERPASANG;;17/10/2025
C1370;LI 80V 200A SN : 265700E2508;;POOL (POS 2) ;AVAILABLE;;17/10/2025
C1371;LI 80V 200A SN : 265702E2508;5840;Bekaert Indonesia;TERPASANG;;21/10/2025
C1372;LI 80V 200A SN : 265689E2508;6037;BMJ Karawang;TERPASANG;;15/01/2026
C1373;LI 80V 200A SN : 258209E2507;;POOL (POS 2) ;AVAILABLE;;21/10/2025
C1374;LI 80V 200A SN : 260833E2507;5844;Bekaert Indonesia;TERPASANG;;21/10/2025
C1375;LI 80V 200A SN : 260837E2507;5845;Bekaert Indonesia;TERPASANG;;03/10/2025
C1376;LI 80V 200A SN : 258221E2507;5842;Bekaert Indonesia;TERPASANG;01/07/2025;24/10/2025
C1377;LI 80V 200A SN : 260832E2507;;POOL (POS 2);AVAILABLE;;21/10/2025
C1378;LI 80V 200A SN : 258212R2507;5839;Bekaert Indonesia;TERPASANG;;03/10/2025
C1379;LI 80V 200A SN : 268977E2508;5832;Bekaert Indonesia;TERPASANG;;03/10/2025
C1380;LI 80V 200A SN : 265659E2508;5833;Bekaert Indonesia;TERPASANG;;17/10/2025
C1381;LI 80V 200A SN : 264568E2508;5834;Bekaert Indonesia;TERPASANG;;17/10/2025
C1382;LI 80V 200A SN : 265650E2508;5835;Bekaert Indonesia;TERPASANG;;20/10/2025
C1383;LI 80V 200A SN : 265636E2508;5836;Bekaert Indonesia;TERPASANG;;20/10/2025
C1384;LI 80V 200A SN : 258205E2507;5837;Bekaert Indonesia;TERPASANG;;20/10/2025
C1385;LI 80V 200A SN : 265605E2508;5838;Bekaert Indonesia;TERPASANG;;20/10/2025
C1386;LI 80V 200A SN : 192889E2410;5846;Bekaert Indonesia;TERPASANG;;17/10/2025
C1387;LI 80V 200A SN : 225428E2503;5847;Bekaert Indonesia;TERPASANG;;17/10/2025
C1388;LI 80V 200A SN : 222025E2502;5849;Bekaert Indonesia;TERPASANG;;17/10/2025
C1389;LI 80V 200A SN : 222034E2502;5848;Bekaert Indonesia;TERPASANG;;17/10/2025
C1390;LI 80V 200A SN : 222031E2502;5850;Bekaert Indonesia;TERPASANG;;30/10/2025
C1391;LI 80V 200A SN : 225408E2503;5893;Surya Renggo Demak Semarang;TERPASANG;;07/10/2025
C1392;LI 80V 200A SN : 225421E2503;5799;POOL (POS 5) - Plan Fosroc Indonesia;TERPASANG;;07/10/2025
C1393;LI 24V 100A SN : 20250617V180;;Kaldu Sari Nabati Majalengka;SPARE;;09/10/2025
C1394;LI 24V 100A SN : 20250617V170;080307DD126;Angkasa Panca Bersaudara DIJUAL PT. UNILIFT CAHAYA SEMESTA (09-10-2025);DIJUAL;;09/10/2025
C1395;LI 24V 100A SN : 20250630V034;5907;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;08/10/2025
C1396;LI 24V 100A SN : 20250630V025;5851;Bekaert Indonesia;TERPASANG;;05/11/2025
C1397;LI 24V 100A SN : 20250630V100;5852;Bekaert Indonesia;TERPASANG;;05/11/2025
C1398;LI 24V 100A SN : 20250630V024;5853;Bekaert Indonesia;TERPASANG;;04/11/2025
C1399;LI 24V 100A SN : 20250617V148;5854;Bekaert Indonesia - Spare;TERPASANG;;13/11/2025
C1400;LI 24V 100A SN : 20250630V038;5855;Bekaert Indonesia;TERPASANG;;17/10/2025
C1401;LI 24V 100A SN : 20250617V143;5856;Bekaert Indonesia;TERPASANG;;04/11/2025
C1402;LI 24V 100A SN : 20250617V142;5857;Bekaert Indonesia;TERPASANG;;06/11/2025
C1403;LI 24V 100A SN : 20250630V026;5858;Bekaert Indonesia;TERPASANG;;04/11/2025
C1404;LI 24V 100A SN : 20250630V052;5859;Bekaert Indonesia;TERPASANG;;05/11/2025
C1405;LI 24V 100A SN : 20250630V054;5860;Bekaert Indonesia;TERPASANG;;17/10/2025
C1406;LI 24V 100A SN : 20250630V036;5861;Bekaert Indonesia;TERPASANG;;04/11/2025
C1407;LI 24V 100A SN : 20250630V117;5862;Bekaert Indonesia;TERPASANG;;05/11/2025
C1408;LI 24V 100A SN : 20250630V031;5863;Bekaert Indonesia;TERPASANG;;12/11/2025
C1409;LI 24V 100A SN : 20250630V057;5864;Bekaert Indonesia;TERPASANG;;05/11/2025
C1410;LI 24V 100A SN : 20250630V051;5865;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;27/10/2025
C1411;LI 24V 100A SN : 20250617V149;5866;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;31/10/2025
C1412;LI 24V 100A SN : 20250630V0120;5867;Bekaert Indonesia;TERPASANG;;13/11/2025
C1413;LI 24V 100A SN : 20250630V037;5868;Bekaert Indonesia;TERPASANG;;03/11/2025
C1414;LI 24V 100A SN : 20250630V021;5869;Bekaert Indonesia;TERPASANG;;03/12/2025
C1415;LI 24V 100A SN : 20250630V050;5870;Bekaert Indonesia;TERPASANG;;05/11/2025
C1416;LI 24V 100A SN : 20250630V027;5871;Bekaert Indonesia;TERPASANG;;12/11/2025
C1417;LI 24V 100A SN : 20250617V146;5872;Bekaert Indonesia;TERPASANG;;06/11/2025
C1418;LI 24V 100A SN : 20250617V144;5873;Bekaert Indonesia;TERPASANG;;05/11/2025
C1419;LI 24V 100A SN : 20250630V115;5874;Bekaert Indonesia;TERPASANG;;12/11/2025
C1420;LI 24V 100A SN : 20250617V145;5875;Bekaert Indonesia;TERPASANG;;03/11/2025
C1421;LI 24V 100A SN : 20250617V147;5876;Bekaert Indonesia;TERPASANG;;05/11/2025
C1422;LI 24V 100A SN : 20250630V048;5877;Bekaert Indonesia;TERPASANG;;13/11/2025
C1423;LI 24V 100A SN : 20250630V059;5878;Bekaert Indonesia;TERPASANG;;04/11/2025
C1424;LI 24V 100A SN : 20250630V035;5879;Bekaert Indonesia;TERPASANG;;06/11/2025
C1425;LI 24V 100A SN : 20250630V053;5880;Bekaert Indonesia;TERPASANG;;12/11/2025
C1426;LI 24V 100A SN : 20250630V028;5881;Bekaert Indonesia;TERPASANG;;03/11/2025
C1427;LI 24V 100A SN : 20250630V058;5882;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;31/10/2025
C1428;LI 24V 100A SN : 20250630V049;5883;Bekaert Indonesia;TERPASANG;;06/11/2025
C1429;LI 24V 100A SN : 20250630V055;5884;Bekaert Indonesia;TERPASANG;;04/11/2025
C1430;LI 24V 100A SN : 20250630V032;5885;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;01/11/2025
C1431;LI 24V 100A SN : 20250630V033;5886;Bekaert Indonesia;TERPASANG;;04/11/2025
C1432;LI 24V 100A SN : 20250630V056;5887;Bekaert Indonesia;TERPASANG;;13/11/2025
C1433;LI 24V 100A SN : 20250630V0119;5888;Bekaert Indonesia;TERPASANG;;04/11/2025
C1434;LI 24V 100A SN : 20250630V030;5889;Bekaert Indonesia;TERPASANG;;03/11/2025
C1435;LI 24V 100A SN : 20250617V141;5965;Bekaert Indonesia;TERPASANG;;03/12/2025
C1436;LI 80V 200A SN : 225420E2503;;Platinum;SPARE;;23/10/2025
C1437;LI 24V 100A SN : 227863E2503;5967;Bekaert Indonesia;TERPASANG;;23/10/2025
C1438;LI 24V 100A SN : 222027E2502;5968;Bekaert Indonesia;TERPASANG;;23/10/2025
C1439;LI 24V 100A SN : 222018E2502;5969;Bekaert Indonesia;TERPASANG;;24/10/2025
C1440;LI 24V 100A SN : 20250630V044;5972;POOL ;TERPASANG;;11/11/2025
C1441;LI 24V 100A SN : 20250630V046;5974;Bekaert Indonesia;TERPASANG;;11/11/2025
C1442;LI 24V 100A SN : 20250630V045;5977;Bekaert Indonesia;TERPASANG;;11/11/2025
C1443;LI 24V 100A SN : 20250617V011;5973;Bekaert Indonesia;TERPASANG;;11/11/2025
C1444;LI 24V 100A SN : 20250630V062;5975;Bekaert Indonesia;TERPASANG;;11/11/2025
C1445;LI 24V 100A SN : 20250617V010;5976;Bekaert Indonesia;TERPASANG;;17/10/2025
C1446;LI 24V 100A SN : 20250630V022;5971;Bekaert Indonesia;TERPASANG;;11/11/2025
C1447;LI 80V 200A SN : 222021E2502;5970;Bekaert Indonesia;TERPASANG;;24/10/2025
C1448;LI 80V 200A SN : 222014E2502;5759;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;30/10/2025
C1449;LI 24V 100A SN : 20250617V082;5994;Ultra Jaya Milk Cibitung / MM;TERPASANG;;22/10/2025
C1450;LI 24V 100A SN : 20250617V085;5995;Ultra Jaya Milk Cibitung / MM;TERPASANG;;22/10/2025
C1451;LI 24V 100A SN : 20250617V037;5987;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;;01/11/2025
C1452;LI 24V 100A SN : 20250617V034;5988;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;;01/11/2025
C1453;LI 24V 100A SN : 20250617V040; ;POOL (POS 5) - Plan Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;AVAILABLE;;
C1454;LI 24V 100A SN : SW252516003714;08020JMX647;DIJUAL PT. UNILIFT CAHAYA SEMESTA (28-10-2025);DIJUAL;;28/10/2025
C1455;LI 80V 200A SN : 225419E2503;5978;Astro Technologies Indonesia (Gd.MMP) Cibitung / MM;TERPASANG;;23/10/2025
C1456;LI 80V 200A SN : 222017E2502;5997;Astro Technologies Indonesia (Gd.MMP) Cibitung / MM;TERPASANG;;23/10/2025
C1457;LI 24V 100A SN : 20250617V055;;POOL (POS 5) ;AVAILABLE;;
C1458;LI 80V 200A SN : 185660E2408;6019;Indo Kordsa Tbk Citeurep Bogor;TERPASANG;;05/11/2025
C1459;LI 80V 200A SN : 225422E2503;6020;Indo Kordsa Tbk Citeurep Bogor Spare;TERPASANG;;06/11/2025
C1460;LI 80V 200A SN : 225417E2503;6021;Indo Retreading And Tire Services Lippo Cikarang;TERPASANG;;06/11/2025
C1461;LI 24V 100A SN : 20250617V039;5990;Samudera Logistik Service Mondelez Deltamas;TERPASANG;;31/10/2025
C1462;LI 24V 100A SN : 20250617V035;5991;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;;01/11/2025
C1463;LI 80V 200A SN : 270131E2508;6018;Indo Kordsa Tbk Citeurep Bogor;TERPASANG;;31/10/2025
C1464;JUNGHEINRICH 48V 80A SN : 3586623050202005;6017;YCH Indonesia (Gd. Ramatek Bandung);TERPASANG;;03/11/2025
C1465;JUNGHEINRICH 48V 80A SN : 3580923050093004;6016;YCH Indonesia (Gd. Ramatek Bandung);TERPASANG;;03/11/2025
C1466;LI 80V 200A SN : 270124E2508;6024;Surya Renggo Karawang;TERPASANG;;19/11/2025
C1467;LI 80V 200A SN : 270135E2508;05035DS7423;DIJUAL PT.INDOFOOD SUKSES MAKMUR (11/22/2025);DIJUAL;;22/11/2025
C1468;LI 80V 200A SN : 270134E2508;05035DS7424;DIJUAL PT PLATINUM CERAMICS INDUSTRY (11/8/2025);DIJUAL;;08/11/2025
C1469;LI 80V 200A SN : 225416E2503;6022;Pindodeli Perawang;TERPASANG;;15/11/2025
C1470;LI 80V 200A SN : 225415E2503;6023;Surya Renggo Karawang;TERPASANG;;19/11/2025
C1471;LI 80V 200A SN : 270259E2508;6025;Surya Renggo Karawang;TERPASANG;;19/11/2025
C1472;LI 24V 100A SN : 20250617V046;080207DD874;DIJUAL PT INDOFOOD CBP SUKSES MAKMUR CBP Gompol Surabaya (DIJUAL) (11/8/2025);DIJUAL;;08/11/2025
C1473;LI 80V 200A SN : 270268E2508;05035DS7426;DIJUAL PT.INDOFOOD SUKSES MAKMUR Tanjung Perak (Dijual) Unilift (11/22/2025);DIJUAL;;22/11/2025
C1474;LI 80V 200A SN : 271361E2509;05025DR4557;POOL (POS 5) - Plan Unilift Cahaya Semesta (Dijual);DIJUAL;;
C1475;LI 80V 200A SN : 265642E2508;6035;BMJ Karawang;TERPASANG;;15/01/2026
C1476;LI 80V 200A SN : 270432E2508;6036;BMJ Karawang;TERPASANG;;15/01/2026
C1477;LI 80V 200A SN : 261755E2507;05025DS7555;POOL (POS 5) - Plan Unilift Cahaya Semesta (Dijual);DIJUAL;;
C1478;LI 80V 200A SN : 270141E2508;05035DS7425;DIJUAL PT.INDOFOOD SUKSES MAKMUR Tanjung Perak (Dijual) Unilift (11/22/2025);DIJUAL;;22/11/2025
C1479;LI 80V 200A SN : 270275E2508;5404;Astro Technologies Indonesia (Gd.MMP) Cibitung / MM;TERPASANG;;17/11/2025
C1480;LI 80V 200A SN : 271364E2509;5414;Astro Technologies Indonesia (Gd.MMP) Cibitung / MM;TERPASANG;;17/11/2025
C1481;LI 80V 200A SN : 270137E2508;5275;POOL (POS 2);TERPASANG;;21/11/2025
C1482;LI 80V 200A SN : 20241231V083;6038;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;31/12/2024;28/11/2025
C1483;LI 80V 200A SN : 270128E2508;5778;POOL (POS 5) - Plan Asian Isuzu;TERPASANG; ;
C1484;LI 80V 200A SN : 233715E2504;;POOL (POS 2) ;AVAILABLE;;16/12/2025
C1485;LI 80V 200A SN : 231458E2503;6041;Bridon Cibitung;TERPASANG;;17/12/2025
C1486;LI 80V 200A SN : 233723E2504;6040;Cipta Mortar Utama Jawilan Serang Banten - Spare;TERPASANG;;07/01/2026
C1487;LI 80V 200A SN : 231472E2503;6043;Bekaert Indonesia;TERPASANG;;21/11/2025
C1488;LI 80V 200A SN : 225409E2503;6042;Bekaert Indonesia;TERPASANG;;21/11/2025
C1489;LI 80V 200A SN : 233716E2504;;POOL (POS 5) ;AVAILABLE;;
C1490;LI 80V 200A SN : 185680E2408;;POOL (POS 5) ;AVAILABLE;;
C1491;LI 80V 200A SN : 233908E2504;;POOL (POS 5) ;AVAILABLE;;
C1492;LI 80V 200A SN : 227265E2503;05035DS7415;PT. UNILIFT CAHAYA SEMESTA Dijual (12/10/2025);DIJUAL;;
C1493;LI 24V 10A SN : - (MODEL SWCH24V10A-B);08015JLR999;DIJUAL PT. UNILIFT CAHAYA SEMESTA (11/20/2025);DIJUAL;;
C1494;LI 24V 10A SN : - (MODEL SWCH24V10A-B);08015JLR993;POOL (POS 5);TERPASANG;;
C1495;LI 80V 200A SN : 270276E2508;6046;POOL (POS 5)  - Plan LG Tangerang;TERPASANG;;
C1496;LI 80V 200A SN : 270123E2508;5656;POOL (POS 2) - Plan Tirta Sukses Pandaan Surabaya;TERPASANG;;25/11/2025
C1497;LI 80V 200A SN : 225405E2503;;POOL (POS 2) ;AVAILABLE;;
C1498;LI 80V 200A SN : 222012E2502;6091;POOL (POS 2);TERPASANG;;02/04/2026
C1499;LI 80V 200A SN : 227266E2503;;POOL (POS 2) ;AVAILABLE;;
C1500;LI 24V 100A SN : 20250617V041;5278;POOL (POS 5) - Plan Advantis;TERPASANG;;
