ID_Unit;SN_Unit;Status_Tagihan_ACC;Status_Kontrak_MKT;Aktif_Service_SRV;Lokasi_Gudang_INV;Masalah;Rekomendasi_Validasi
5560;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5994;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5995;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5757;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5118;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5121;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5348;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5349;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5119;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5120;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5305;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5347;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5342;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5274;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5657;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5134;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5308;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5389;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5110;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5111;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5214;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5519;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5520;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5521;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5639;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5640;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5641;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
