ID_Unit;Serial_Number;Tahun_Unit;Nama_Customer;No_PO;No_Kontrak;Awal_Sewa;Akhir_Sewa;Harga_Bulan;Sumber_Data_Customer
2748;82396;2021;"KONTRAK KIRANA PERMATA (15-12-2025)";;;;;0;WAREHOUSE
2749;82397;2021;"PT CAHAYAPUTRA ASA KERAMIK Tbk";;;;;0;MARKETING
2750;82408;2021;"PT KALDU SARI NABATI INDONESIA";;;;;0;MARKETING
2754;CT18C-87661;2021;"Indo Bharat Rayon";;;;;0;MARKETING
2755;CT18C-87658;2021;"Cipta Multi Buana";;;;;0;MARKETING
2763;HHKCFMM3JF0000478;2021;"09-12-2025 FR AMBIL UNIT UPA SURABAYA (TUKAR UNIT JD 3156)";;;;;0;WAREHOUSE
2764;HHKCFMM3KF0000480;2021;SUPERNOVA;;;;;0;WAREHOUSE
2766;82457;2021;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2771;FN981904;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2777;CT14E-21915;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2781;CT14E-21916;2021;"PT MARUHACHI INDONESIA";;;;;0;MARKETING
2784;T8BA00035;2021;"PT GEORG FISCHER INDONESIA";;;;;0;MARKETING
2785;I9BA06339;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2794;CT14E-22377;2022;"PT LG Electronics Indonesia";;;;;0;MARKETING
2795;30E32664;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2796;30E32696;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2797;257D00604;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2798;257D00470;2021;"PT. LX Phantos Jakarta";;;;;0;MARKETING
2799;257D00471;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2800;257D00516;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2801;257D00517;2021;"PT SINOTRANS OVERSEAS INDONESIA";;;;;0;MARKETING
2802;43H33241;2023;"PT LG Electronics Indonesia";;;;;0;MARKETING
2803;43H33296;2023;"PT LG Electronics Indonesia";;;;;0;MARKETING
2804;SEM00618KS1S01415;2022;"PT LG Electronics Indonesia";;;;;0;MARKETING
2810;HHKCHN55AF0001392;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2814;HHKCHN55JF0001386;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2815;HHKCHN55LF0001376;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2816;HHKCHN55EF0001378;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2817;HHKCHN55CF0001379;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2825;HHKCHN56CF0000720;2021;"PT Kokoh Inti Arebama";4018011075;;;;0;MARKETING
2828;82895;2024;"AIBM - Indolakto";;;;;0;MARKETING
2831;V2BA00004;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2834;I9BA07657;2021;"PT BAKRIE AUTOPARTS";;;;;0;MARKETING
2839;20380;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2840;20381;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2841;20382;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2842;20387;2021;"SRI TRANG LINGGA";;;;;0;WAREHOUSE
2843;20389;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2844;20400;2021;"30-08-2025 AMBIL UNIT FR OKI PALEMBANG";;;;;0;WAREHOUSE
2848;CT18C-87684;2021;"Kirana Permata";;;;;0;MARKETING
2854;30E32867;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2855;30E32874;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2856;30E32870;2021;"PT BRIDON";;;;;0;MARKETING
2864;C881R01810S;2022;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2866;C881R01988S;2022;"South Pacific Viscose";;;;;0;MARKETING
2868;C881R05393U;2022;"PT CIPTA NIAGA SEMESTA";4501715413;;;;0;MARKETING
2869;C881R05379U;2022;"PT KAMADJAJA LOGISTIC";;;;;0;MARKETING
2870;C881R01935S;2022;"PT HAB DONG INDO";;;;;0;MARKETING
2875;FN987497;2022;UNIVENUS;;;;;0;WAREHOUSE
2878;FN987500;2022;"PT BAKRIE AUTOPARTS";;;;;0;MARKETING
2881;43E31782;2022;"PT Kasmaji";;;;;0;MARKETING
2886;43H33506;2023;"PT TEKPAK INDONESIA";;;;;0;MARKETING
