NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
1;010303J7567;CPCD30-Q22K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE QUANCHAI, MAST STD 2 STAGE;QUANCHAI;Q240873244H;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
2;010303J7616;CPCD30-M1K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE MITSUBISHI S4S, MAST STD 2 STAGE;MITSUBISHI;S4S-400945;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
3;010303J7615;CPCD30-M1K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE MITSUBISHI S4S, MAST STD 2 STAGE;MITSUBISHI;S4S-400946;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
4;020303J7702;CPC30-WS1K2;FORKLIFT CB;DIESEL;2024;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, SPION, ENGINE ISUZU, MAST STD 2 STAGE;ISUZU;322202;3TON;DIESEL;M300;3000MM;-;SOLID TIRE;28X9-15;6.50-10;2
5;07020DP3747;CQD20-A2RLIG2;REACH TRUCK;ELECTRIC;2024;ACCESSORIES ROTARY LAMP, BACKBUZZER, SPION, REACH TRUCK SIT-ON, HELI-Ion LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;CASTER WHEEL;-;-;4
6;08030JFX737;CBD30J-RLI;PALLET MOVER;ELECTRIC;2024;LONG FORK P 2400MM/L 685MM (DOUBLE PALLET) LITHIUM BATTERY;-;-;3TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
7;08015XA6954;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
8;08015XA6961;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
9;08015XA6951;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
10;08015XA6952;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
11;08015XA6953;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
12;08015XA6955;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
13;08015XA6956;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
14;08015XA6957;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
15;08015XA6958;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
16;08015XA6959;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
17;08015XA6960;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2024;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
18;05040DR4845;CPD40-GB2LI;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, SAFETY BELT, BACKBUZZER, USB CHARGER, LAMPU SOROT, MAST FFL 3 STAGE, HELI-Ion LITHIUM BATTERY;-;-;4TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28X12.5-15;21X8-9;3
19;08015JLR994;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
20;08015JLR993;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
21;08015JLR992;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
22;08015JLR991;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
23;08015JLR990;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
24;08015JLR989;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
25;08015JLS000;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
26;08015JLR987;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
27;08015JLR986;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
28;08015JLR981;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
29;08015JLR980;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
30;08015JLR979;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
31;08015JLR978;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
32;08015JLR988;CBD15J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
33;8FBR18-20412;8FBR18;REACH TRUCK;ELECTRIC;2025;ROTARY LAMP, SPION, LAMPU, MAST FFL 3 STAGE, SIT-ON;-;-;1,8TON;ELECTRIC;FSVE61 (6000);6000MM;-;CASTER WHEEL;-;-;4
34;05025DR4662;CPD25-GB6LI-S;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETYBELT, USB CHARGER, LAMPU SOROT, MAST FFL 2 STAGE, HELI-Lion LITHIUM BATTERY;-;-;2,5TON;ELECTRIC;ZM300 FFL 2 STAGE;3000MM;-;SOLID TIRE;7.00-12;18X7-8;3
35;05025DR4558;CPD25-GB6LI-S;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETYBELT, USB CHARGER, LAMPU SOROT, MAST FFL 2 STAGE, HELI-Lion LITHIUM BATTERY;-;-;2,5TON;ELECTRIC;ZM300 FFL 2 STAGE;3000MM;-;SOLID TIRE;7.00-12;18X7-8;3
36;05025DR4557;CPD25-GB6LI-S;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETYBELT, USB CHARGER, LAMPU SOROT, MAST FFL 2 STAGE, HELI-Lion LITHIUM BATTERY;-;-;2,5TON;ELECTRIC;ZM300 FFL 2 STAGE;3000MM;-;SOLID TIRE;7.00-12;18X7-8;3
37;05025DR4560;CPD25-GB6LI-S;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETYBELT, USB CHARGER, LAMPU SOROT, MAST FFL 2 STAGE, HELI-Lion LITHIUM BATTERY;-;-;2,5TON;ELECTRIC;ZM300 FFL 2 STAGE;3000MM;-;SOLID TIRE;7.00-12;18X7-8;3
38;08015XA9924;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
39;08015XA9923;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
40;08015XA9937;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
41;08015XA9925;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
42;08015XA9926;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
43;08015XA9927;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
44;08015XA9928;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
45;08015XA9936;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
46;08015XA9935;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
47;08015XA9934;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
48;08015XA9933;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
49;08015XA9932;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
50;08015XA9931;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
51;08015XA9930;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
52;08015XA9929;CBD15-ALIH;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
53;05030DS3472;CPD30-GB2LI-M;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETY BELT, LAMPU SOROT, SPION, USB CHARGER, MAST FFL 3 STAGE, HELI-Lion LITHIUM BATTERY;-;-;3TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
54;05050DS3692;CPD50-GB2LI;FORKLIFT CB;ELECTRIC;2025;ACCESSORIES ROTARY LAMP, BACKBUZZER, SAFETY BELT, LAMPU SOROT, SPION, USB CHARGER, MAST FFL 3 STAGE, HELI-Lion LITHIUM BATTERY;-;-;5TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28X12.5-15;21X8-9;4
55;08020JMX645;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
56;08020JMX644;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
57;08020JMX642;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
58;08020JMX640;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
59;08020JMX639;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
60;08020JMX636;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
61;08020JMX635;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
62;08020JMX634;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
63;08020JMX633;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
64;08020JMX631;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
65;08020JMX630;CBD20J-LI-S;HAND PALLET ELECTRIC;ELECTRIC;2025;LOW FORK P 1150MM/L 680MM (SINGLE PALLET) LITHIUM BATTERY;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
66;FDZN25-42275;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0437430;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
67;FDZN25-42274;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0437431;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
68;FDZN25-42253;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0436954;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
69;FDZN25-42267;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0437349;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
70;FDZN25-42270;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0437306;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
71;FDZN25-42264;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0437655;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
72;FDZN25-42251;FDZN25;FORKLIFT CB;DIESEL;2025;VISIBLE TWO STAGE 3500MM MAST, 1070MM FORK, PNEUMATIC TIRE, ROTARY LAMP, BACKBUZZER, SAFETYBELT;TOYOTA;1DZ-0436981;2,5TON;DIESEL;FSV 4700;4700MM;-;PNEUMATIC;700-12;600-9;2
73;010253P1046;CPCD25-M1K2;FORKLIFT CB;DIESEL;2025;3CV+AUTO TRANSMISSION, MAST 3 SPOOL HOSE, FORK 1220MM, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT, BACK BUZZER.;MITSUBISHI;S4S-414726;2,5TON;DIESEL;M300;3000MM;-;PNEUMATIC;700-12;600-9;3
74;010253P1045;CPCD25-M1K2;FORKLIFT CB;DIESEL;2025;3CV+AUTO TRANSMISSION, MAST 3 SPOOL HOSE, FORK 1220MM, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT, BACK BUZZER.;MITSUBISHI;S4S-414724;2,5TON;DIESEL;M300;3000MM;-;PNEUMATIC;700-12;600-9;3
75;010253P1044;CPCD25-M1K2;FORKLIFT CB;DIESEL;2025;3CV+AUTO TRANSMISSION, MAST 3 SPOOL HOSE, FORK 1220MM, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT, BACK BUZZER.;MITSUBISHI;S4S-414721;2,5TON;DIESEL;M300;3000MM;-;PNEUMATIC;700-12;600-9;3
76;05050DS8071;CPD50-A2DLIG3;FORKLIFT CB;ELECTRIC;2025;4CV+HELI G3, USB CHARGER, FORK 1220MM, CONTAINER VERSION, 2230MM OVERHEAD GUARD, ACCESSORIES SAFETYBELT, ROTARY LAMP, BACK BUZZER;-;-;5TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28x12.5-15;21x8-9;4
77;05050DS8072;CPD50-A2DLIG3;FORKLIFT CB;ELECTRIC;2025;4CV+HELI G3, USB CHARGER, FORK 1220MM, CONTAINER VERSION, 2230MM OVERHEAD GUARD, ACCESSORIES SAFETYBELT, ROTARY LAMP, BACK BUZZER;-;-;5TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28x12.5-15;21x8-9;4
78;05050DS8073;CPD50-A2DLIG3;FORKLIFT CB;ELECTRIC;2025;4CV+HELI G3, USB CHARGER, FORK 1220MM, CONTAINER VERSION, 2230MM OVERHEAD GUARD, ACCESSORIES SAFETYBELT, ROTARY LAMP, BACK BUZZER;-;-;5TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28x12.5-15;21x8-9;4
79;080157DD894;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
80;080157DD895;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
81;080157DD896;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
82;080157DD897;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
83;080157DD898;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
84;080157DD899;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
85;080157DD900;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
86;080157DD901;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
87;080157DD902;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
88;080157DD903;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
89;080157DD904;CBD15-YLI;HAND PALLET ELECTRIC;ELECTRIC;2025;HAND PALLET FORK P 1150MM/L 680MM;-;-;1,5TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
90;05050DS8328;CPD50-A2DLIG3;FORKLIFT CB;ELECTRIC;2025;4CV+BACK BUZZER, HELI G3 LITHIUM, FORK 1220MM, USB CHARGER, CONTAINER VERSION, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT;-;-;5TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28x12.5-15;21x8-9;4
91;05050DS8074;CPD50-A2DLIG3;FORKLIFT CB;ELECTRIC;2025;4CV+BACK BUZZER, HELI G3 LITHIUM, FORK 1220MM, USB CHARGER, CONTAINER VERSION, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT;-;-;5TON;ELECTRIC;ZSM435;4350MM;-;SOLID TIRE;28x12.5-15;21x8-9;4
92;05030DS7431;CPD30-GB2LI-M;FORKLIFT CB;ELECTRIC;2025;4CV+BACK BUZZER, HELI G3 LITHIUM, FORK 1220MM, USB CHARGER, CONTAINER VERSION, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28x9-15;200/50-10;4
93;05030DS7430;CPD30-GB2LI-M;FORKLIFT CB;ELECTRIC;2025;4CV+BACK BUZZER, HELI G3 LITHIUM, FORK 1220MM, USB CHARGER, CONTAINER VERSION, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28x9-15;200/50-10;4
94;05030DS7429;CPD30-GB2LI-M;FORKLIFT CB;ELECTRIC;2025;4CV+BACK BUZZER, HELI G3 LITHIUM, FORK 1220MM, USB CHARGER, CONTAINER VERSION, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28x9-15;200/50-10;4
95;05030DS7427;CPD30-GB2LI-M;FORKLIFT CB;ELECTRIC;2025;4CV+BACK BUZZER, HELI G3 LITHIUM, FORK 1220MM, USB CHARGER, CONTAINER VERSION, ACCESSORIES ROTARY LAMP, SAFETYBELT, SPION, LAMPU SOROT;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28x9-15;200/50-10;4
96;080207DD878;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2025;PALLET MOVER CABIN LOW FORK P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
97;080207DD888;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2025;PALLET MOVER CABIN LOW FORK P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
98;010303P1179;CPCD30-Q22K2;FORKLIFT CB;DIESEL;2025;HELI K2 ENGINE QUANCHAI, 2 CV, ZSM450 MAST, PNEUMATIC TYRE, FORK 1070MM, ACCESORIS, ROTARY LAMP, BACK BUZZER, LAMPU SOROT, SAFETY BELT, SPION;QUANCHAI;Q250776491H;3TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15;650-10;2
