NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
139;FDZN30-45506;FDZN30;FORKLIFT CB;DIESEL;2026;FDZN30 COUNTERBALANCE 3, DIESEL POWERED, OPERATOR TYPE SITE DOWN, AUTOMATIC TRANSMISSION, PNEUMATIC TIRE, LIFT HEIGHT 4300MM (WIDE VISIBLE FULL FREE LIFT 3 STAGES FSV Mast), FORK LENGHT 1070MM, ROTARY LAMP, 2 CONTROL VALVE, BACKBUZZER, SAFETYBELT.;TOYOTA;1DZ-0441976;3TON;DIESEL;FSV 4300MM;4300MM;-;PNEUMATIC;28X9B15;6.50B10;2
140;06015DT8522;CPD15SQ-A6LIG3-S;THREE WHEEL;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB THREE WHEEL LITHIUM FORKLIFT ZSM500 MAST3CV 1070MM FORK,80V150Ah LISHEN 80V 100 A CHARGER, ROTARY LAMP, SPION, USB CHARGER, SAFETY BELT, BACKBUZZER, LED;-;-;1,5TON;ELECTRIC;ZSM500;5000MM;-;SOLID TIRE;18X7-8;140/55-9;3
141;06015DT8523;CPD15SQ-A6LIG3-S;THREE WHEEL;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB THREE WHEEL LITHIUM FORKLIFT ZSM500 MAST3CV 1070MM FORK,80V150Ah LISHEN 80V 100 A CHARGER, ROTARY LAMP, SPION, USB CHARGER, SAFETY BELT, BACKBUZZER, LED;-;-;1,5TON;ELECTRIC;ZSM500;5000MM;-;SOLID TIRE;18X7-8;140/55-9;3
142;05035DT8272;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
143;05035DT8273;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
144;05035DT8274;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
145;05035DT8275;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
146;05035DT8276;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
147;05035DT8277;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;4
148;05035DT8278;CPD35-GB2LI-M;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB ZSM450, LISHEN-80V404AH, SOLID TYRE, FORK1520MM, ACCESSORIES ROTARY LAMP, BACKBUZZER, USB CHARGER, SAFETYBELT, SPION, LED;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
